elapsed_seconds,gpu_memory_MiB
0.11866140365600586,1
1.1897404193878174,30
2.263939619064331,290
3.386725902557373,812
4.460626602172852,812
5.531785249710083,812
6.6037609577178955,812
7.6749162673950195,812
8.751105308532715,812
9.857116460800171,812
10.932687997817993,824
12.022547960281372,824
13.092307806015015,824
14.182589530944824,824
15.269804000854492,824
16.339821815490723,824
17.411200523376465,824
18.48123288154602,824
19.55284333229065,824
20.623291492462158,824
21.69535541534424,824
22.76719069480896,824
23.83958888053894,824
24.912006378173828,824
25.983461380004883,824
27.069981813430786,824
28.139860153198242,824
29.213709354400635,824
30.2879900932312,824
31.36314368247986,824
32.45842409133911,824
33.53168272972107,824
34.608662605285645,824
35.68069362640381,824
36.792527198791504,824
37.90817666053772,824
38.98005533218384,824
40.0555055141449,824
41.15731763839722,824
42.22807478904724,824
43.29971408843994,824
44.37182140350342,824
45.46155595779419,824
46.55551314353943,824
47.63225865364075,824
48.723771810531616,824
49.79665231704712,824
50.86781930923462,824
51.934608697891235,824
53.00295376777649,824
54.07587647438049,824
55.14253091812134,826
56.25005292892456,826
57.31914663314819,826
58.42436861991882,826
59.51370596885681,826
60.60197877883911,826
61.67203187942505,826
62.766974687576294,826
63.84359884262085,826
64.93682217597961,826
66.03058075904846,826
67.10287404060364,826
68.21678066253662,826
69.28795075416565,826
70.38031888008118,826
71.49931406974792,826
72.5925018787384,834
73.6849091053009,834
74.75622987747192,834
75.84794282913208,834
76.96228742599487,834
78.0348424911499,834
79.11215686798096,834
80.2235643863678,834
81.31716847419739,834
82.42977023124695,834
83.50409317016602,834
84.57610273361206,834
