K,N,dataset_root,h,method,seed,study,variant,parameters,algorithm_time,best_epoch,train_nll,train_drift_rmse,train_covariance_rmse,train_min_raw_eigenvalue,validation_nll,validation_drift_rmse,validation_covariance_rmse,validation_min_raw_eigenvalue,test_nll,test_drift_rmse,test_covariance_rmse,test_min_raw_eigenvalue,final_drift_best_epoch,covariance_best_epoch,train_min_covariance_eig,validation_min_covariance_eig,test_min_covariance_eig,final_drift_best_iteration,covariance_best_iteration,train_raw_spd_violation_rate,validation_raw_spd_violation_rate,test_raw_spd_violation_rate,train_numerical_nonpositive_eig_rate,validation_numerical_nonpositive_eig_rate,test_numerical_nonpositive_eig_rate
1024,80000,dataset_roots/N_80000/h_0.0001,0.0001,split_fourier,4,regime_N,h_0.0001,14336,569.2212469760561,,-8.7437744140625,0.626704752445221,1.3606449365615845,,-8.769081115722656,0.6274577379226685,1.3614381551742554,,-8.75331974029541,0.6298994421958923,1.3257758617401123,,2,291,1.825048093451187e-05,1.833262103900779e-05,1.8891541913035326e-05,,,,,,,,
1024,80000,dataset_roots/N_80000/h_0.0001,0.0001,split_fourier,5,regime_N,h_0.0001,14336,568.5617995109642,,-8.691941261291504,0.6439337730407715,1.6190028190612793,,-8.713401794433594,0.6448690891265869,1.6170995235443115,,-8.68062686920166,0.6429145932197571,1.6059939861297607,,0,285,2.077003773592878e-05,2.0940389731549658e-05,2.1439062038552947e-05,,,,,,,,
1024,80000,dataset_roots/N_80000/h_0.0001,0.0001,split_fourier,6,regime_N,h_0.0001,14336,572.0642941459082,,-8.656779289245605,0.5564891695976257,2.2304770946502686,,-8.684385299682617,0.556925356388092,2.2271552085876465,,-8.667366981506348,0.5577411651611328,2.1879725456237793,,0,274,2.4989480152726173e-05,2.5249935788451694e-05,2.5284169169026427e-05,,,,,,,,
1024,80000,dataset_roots/N_80000/h_0.0001,0.0001,split_fourier,7,regime_N,h_0.0001,14336,562.4139695579652,,-8.671015739440918,0.7600654363632202,1.9550764560699463,,-8.718029022216797,0.7628207802772522,1.9759918451309204,,-8.689715385437012,0.7631822824478149,1.9189292192459106,,2,265,2.4756302082096227e-05,2.555625542299822e-05,2.5204341000062414e-05,,,,,,,,
1024,80000,dataset_roots/N_80000/h_0.0001,0.0001,split_fourier,8,regime_N,h_0.0001,14336,577.0008748760447,,-8.66457748413086,0.7367523908615112,1.6609925031661987,,-8.710309982299805,0.740169107913971,1.6657079458236694,,-8.679232597351074,0.7414931654930115,1.6614106893539429,,4,252,2.2500182240037248e-05,2.2605207050219178e-05,2.3176136892288923e-05,,,,,,,,
1024,80000,dataset_roots/N_80000/h_0.0001,0.0001,split_fourier,9,regime_N,h_0.0001,14336,572.7807592060417,,-8.650814056396484,0.7461815476417542,1.7678664922714233,,-8.68078899383545,0.7478501796722412,1.765276551246643,,-8.665891647338867,0.7493739128112793,1.723661184310913,,5,298,1.65774308698019e-05,1.689761847956106e-05,1.6718273400329053e-05,,,,,,,,
1024,80000,dataset_roots/N_80000/h_0.0001,0.0001,arff,0,regime_N,h_0.0001,14336,143.76503728795797,,-9.305604934692383,0.9015265107154846,0.09031962603330612,-0.1670379340648651,-9.335639953613281,0.9029345512390137,0.08802353590726852,-0.16288289427757263,-9.334090232849121,0.9028270840644836,0.09015023708343506,-0.16550715267658234,,,,,,2,273,0.47833749651908875,0.4812999963760376,0.48259997367858887,,,
1024,80000,dataset_roots/N_80000/h_0.0001,0.0001,arff,1,regime_N,h_0.0001,14336,143.7009575800039,,-9.312516212463379,0.8868188858032227,0.0897534117102623,-0.1581626683473587,-9.35161304473877,0.89420485496521,0.08736241608858109,-0.15761294960975647,-9.330448150634766,0.8967889547348022,0.08924923837184906,-0.15599820017814636,,,,,,2,294,0.4697999954223633,0.48009997606277466,0.471699982881546,,,
1024,80000,dataset_roots/N_80000/h_0.0001,0.0001,arff,2,regime_N,h_0.0001,14336,144.83859064697754,,-9.306888580322266,0.8207644820213318,0.08746647089719772,-0.14683179557323456,-9.328038215637207,0.820142388343811,0.08503942936658859,-0.1462779939174652,-9.330744743347168,0.8258820176124573,0.08659878373146057,-0.1450854390859604,,,,,,1,296,0.47657498717308044,0.4761999845504761,0.47609999775886536,,,
1024,80000,dataset_roots/N_80000/h_0.0001,0.0001,arff,3,regime_N,h_0.0001,14336,140.88915165606886,,-9.295300483703613,0.8058661222457886,0.08863624185323715,-0.14925910532474518,-9.329244613647461,0.8065138459205627,0.0862230733036995,-0.1418030709028244,-9.31550121307373,0.809112548828125,0.0883607268333435,-0.14742743968963623,,,,,,1,299,0.4690999984741211,0.46859997510910034,0.4608999788761139,,,
1024,80000,dataset_roots/N_80000/h_0.0001,0.0001,arff,4,regime_N,h_0.0001,14336,146.7792923899833,,-9.314560890197754,0.7551354169845581,0.08916347473859787,-0.15416213870048523,-9.341822624206543,0.7592906355857849,0.0868644267320633,-0.15229229629039764,-9.34030818939209,0.7563619613647461,0.08866056054830551,-0.1540876030921936,,,,,,1,280,0.4799000024795532,0.487199991941452,0.4805999994277954,,,
1024,80000,dataset_roots/N_80000/h_0.0001,0.0001,arff,5,regime_N,h_0.0001,14336,143.2302832819987,,-9.286453247070312,0.7581229209899902,0.08819209784269333,-0.1554282158613205,-9.30671501159668,0.7633227705955505,0.08588992804288864,-0.15461203455924988,-9.30628490447998,0.7646356225013733,0.08789456635713577,-0.1533156782388687,,,,,,1,278,0.4832874834537506,0.48959997296333313,0.48539999127388,,,
1024,80000,dataset_roots/N_80000/h_0.0001,0.0001,arff,6,regime_N,h_0.0001,14336,145.34346491494216,,-9.27794075012207,1.1272690296173096,0.08755304664373398,-0.15137505531311035,-9.306170463562012,1.1324362754821777,0.08515819162130356,-0.15107305347919464,-9.286771774291992,1.1372921466827393,0.08732038736343384,-0.14540117979049683,,,,,,4,296,0.48323747515678406,0.486299991607666,0.4764999747276306,,,
1024,80000,dataset_roots/N_80000/h_0.0001,0.0001,arff,7,regime_N,h_0.0001,14336,141.60393891308922,,-9.310887336730957,1.1944475173950195,0.08818681538105011,-0.16651849448680878,-9.33366584777832,1.201499342918396,0.08585144579410553,-0.1664954274892807,-9.33177661895752,1.2024849653244019,0.08778426796197891,-0.16303502023220062,,,,,,4,299,0.47363749146461487,0.4737999737262726,0.4712999761104584,,,
1024,80000,dataset_roots/N_80000/h_0.0001,0.0001,arff,8,regime_N,h_0.0001,14336,149.67766349599697,,-9.295191764831543,0.9981696009635925,0.09011529386043549,-0.14647211134433746,-9.321504592895508,1.006095051765442,0.08803343027830124,-0.14589107036590576,-9.324536323547363,1.0040132999420166,0.08957211673259735,-0.1457621455192566,,,,,,3,296,0.4792249798774719,0.48969998955726624,0.48399999737739563,,,
1024,80000,dataset_roots/N_80000/h_0.0001,0.0001,arff,9,regime_N,h_0.0001,14336,144.77838285802864,,-9.295137405395508,0.9928033351898193,0.08762646466493607,-0.13559649884700775,-9.315536499023438,0.9980370402336121,0.08508739620447159,-0.12971283495426178,-9.31641960144043,0.9980774521827698,0.0869673565030098,-0.12549638748168945,,,,,,2,300,0.47824999690055847,0.4787999987602234,0.4684999883174896,,,
1024,80000,dataset_roots/N_80000/h_0.0001,0.0001,joint_mlp,0,regime_N,h_0.0001,14180,129.33355199499056,279,-10.4999323,0.0797660351,0.310673982,2.20647908e-05,-10.5324249,0.0794873685,0.308415592,2.20841575e-05,-10.5096159,0.0801437646,0.310494244,2.22796552e-05,,,,,,,,,,,,,
1024,80000,dataset_roots/N_80000/h_0.0001,0.0001,joint_mlp,1,regime_N,h_0.0001,14180,136.08456796698738,241,-9.77658844,0.25629884,0.759906173,1.92059051e-05,-9.81433296,0.255534202,0.678429127,1.91989002e-05,-9.7733736,0.257239848,0.726600647,1.92102616e-05,,,,,,,,,,,,,
1024,80000,dataset_roots/N_80000/h_0.0001,0.0001,joint_mlp,2,regime_N,h_0.0001,14180,124.46911954402458,298,-9.7806406,0.157768264,0.381789505,2.12050963e-05,-9.80851269,0.158183455,0.384475648,2.13102976e-05,-9.77350521,0.15818578,0.390666127,2.12272371e-05,,,,,,,,,,,,,
1024,80000,dataset_roots/N_80000/h_0.0001,0.0001,joint_mlp,3,regime_N,h_0.0001,14180,132.9699146359926,283,-10.3754292,0.121980801,0.331522524,2.39208894e-05,-10.4296579,0.121884853,0.299854726,2.40832178e-05,-10.376298,0.122796662,0.33264029,2.39087331e-05,,,,,,,,,,,,,
1024,80000,dataset_roots/N_80000/h_0.0001,0.0001,joint_mlp,4,regime_N,h_0.0001,14180,133.3850179630099,295,-10.5107698,0.0777672827,0.322211206,1.78672144e-05,-10.5476389,0.0779942647,0.304609954,1.81235428e-05,-10.503932,0.077381961,0.317502409,1.79289927e-05,,,,,,,,,,,,,
1024,80000,dataset_roots/N_80000/h_0.0001,0.0001,joint_mlp,5,regime_N,h_0.0001,14180,128.21214524807874,293,-10.4238453,0.117585875,0.298626363,7.7970526e-06,-10.455637,0.117588989,0.305159718,7.87458339e-06,-10.4570227,0.117601104,0.296802372,7.83162795e-06,,,,,,,,,,,,,
1024,80000,dataset_roots/N_80000/h_0.0001,0.0001,joint_mlp,6,regime_N,h_0.0001,14180,130.3499406450428,281,-10.4320965,0.106748737,0.215818003,3.30443363e-05,-10.4664993,0.106771469,0.217061505,3.31340052e-05,-10.4521322,0.106319204,0.214901865,3.34941324e-05,,,,,,,,,,,,,
1024,80000,dataset_roots/N_80000/h_0.0001,0.0001,joint_mlp,7,regime_N,h_0.0001,14180,140.43066870595794,297,-10.4564648,0.0940281972,0.204946756,1.77112215e-05,-10.5102329,0.0936782286,0.206200808,1.78821228e-05,-10.4852514,0.0942304581,0.213626459,1.83688499e-05,,,,,,,,,,,,,
1024,80000,dataset_roots/N_80000/h_0.0001,0.0001,joint_mlp,8,regime_N,h_0.0001,14180,132.8498227839591,294,-10.1842108,0.213113651,0.473674536,1.67925609e-05,-10.2137699,0.213002965,0.425394058,1.69566556e-05,-10.2280407,0.209903508,0.457056314,1.69103769e-05,,,,,,,,,,,,,
1024,80000,dataset_roots/N_80000/h_0.0001,0.0001,joint_mlp,9,regime_N,h_0.0001,14180,132.04550675000064,276,-10.1444712,0.164315894,0.49538967,2.53092367e-05,-10.1834002,0.164543152,0.472689301,2.53697654e-05,-10.1325808,0.165491268,0.495710462,2.53380658e-05,,,,,,,,,,,,,
1024,80000,dataset_roots/N_80000/h_0.0001,0.0001,split_mlp,0,regime_N,h_0.0001,14180,620.818998642033,,-10.082359048461914,0.7241666317641368,0.4589517075687816,,-10.125731886291504,0.7217266569058839,0.4447849268772134,,-10.052904333496095,0.7140480682773083,0.4666789488810295,,139,297,2.5942636057152413e-05,2.5973920855903998e-05,2.60607703239657e-05,,,,,,0.0,0.0,0.0
1024,80000,dataset_roots/N_80000/h_0.0001,0.0001,split_mlp,1,regime_N,h_0.0001,14180,667.4792880880414,,-10.371029054260253,0.7328016248082231,0.2945126267826624,,-10.409397761535644,0.7292658809187036,0.2748847380429589,,-10.394000715637207,0.729469210631801,0.2890837415223891,,102,296,3.796953387791291e-05,3.810079215327278e-05,3.8003174267942086e-05,,,,,,0.0,0.0,0.0
1024,80000,dataset_roots/N_80000/h_0.0001,0.0001,split_mlp,2,regime_N,h_0.0001,14180,655.5526605919003,,-10.211831449890136,0.33960288332954713,0.5225601555625404,,-10.253103913879395,0.33731494152605007,0.4450451463241944,,-10.199110606384277,0.3401564247467003,0.4991375404800085,,27,299,3.562327765394002e-05,3.5728524380829185e-05,3.581059354473837e-05,,,,,,0.0,0.0,0.0
