iteration,training_noisy_mse,acceptance_fraction,pre_resampling_ess,unique_parents,maximum_offspring,post_amplitude_norm,post_frequency_rms,post_centered_frequency_rms,proposal_sha256,acceptance_sha256,internal_noisy_mse
1,4901.21875,1.0,565.4702092564257,547,11,2.538495506256761,0.2640998185495385,0.26382381169499286,01096aa4214e6fe26b44fa63d719224e85070c8db43122746223542a6b5697e0,a6a2fb2649627db58d4c78a639a20c5760b714561ed2829ade66bc0920645d07,5035.4580078125
2,4899.896484375,0.8779296875,569.7917654733824,594,14,4.199958832207887,0.4240668566233447,0.41825387803297176,2b5962aa5bf3e2a9be8acd695bcdcea2ae9237fa0e8413cd6028303478c4ca68,3871a89db9750ba882f47c8d970314a67970c08277325520a910073cb7e845c7,5034.2587890625
3,4893.9287109375,0.9130859375,518.6848102905587,564,16,8.427981421564851,0.6088735737769947,0.5743808227321963,a23c0802d27c2f04474267ea2d66842e7122f0272f8ae3a3ce3cf96b87cf2e92,b52e46a6c2bd0720ae42bbeb01fb16096c17d85e83c4a3f1a1cba8e9df7eab18,5030.0703125
4,4890.25146484375,0.7109375,548.6664714567294,581,20,6.694690209943346,0.8028572595792226,0.7379922919464622,37f7c4de17204cc5ef5fc42fdc68867cb92f860204a5402afdc4841189b9553e,4f93e967fddcd3411cfdc9b5f93b8e392913d2e30892ee820d3749faba3c5e5c,5031.65673828125
5,4888.58984375,0.7568359375,700.3699644288952,587,11,5.960392863045908,1.0178669875182582,0.895136561834151,9695febfceed17fb128ec772db1983875a54c06f7fc3124684f3397a1f1802ff,623dec4a215df5c7cabb25fd68981c545c0d43b32277113c9cf61ce862602463,5032.927734375
6,4886.62109375,0.8466796875,724.6882180562827,607,9,6.5468387186607115,1.1772796478198289,1.0148361189266704,f6fbda5de44a1d962f3b533d8e439d66f79f11bda49bda09f1874127d8f4b128,259481de8eb1a31cd31c0a207bfb5d67fb7778019ff561bf439aa5d5ad05dc3c,5033.22607421875
7,4883.78369140625,0.8203125,656.4002064042762,602,11,7.016287260384107,1.3582088462211515,1.1685852376962473,70cf88fd3fa23034b22b5541cb0200ce58a895305425c1a4054147708bf7b1cb,3c70e4c3d1ea98b9e4cc1d91ab4061d97e6611d98aa1724c4a73af0a7660647a,5034.94384765625
8,4881.91455078125,0.8193359375,705.1928360536506,612,12,6.9373214144934705,1.5247041740626825,1.305658974040412,7b4d8199915fb43217ff34b57836cbc02e6e49323773e867aefad5db3bd90709,a8a43ebdd6937582ccd6c295914589347ac6f6106a274e55a0b87c2bef402763,5037.755859375
9,4880.12646484375,0.8623046875,760.2561789209262,592,9,7.172076829563437,1.7217812623718602,1.518358488100678,c96a6c89fd7bc489950b1fb2f21ce9e7aa77e1dcc5c0776d0efff45b65c7a9dd,10f9fe69db18b9a1112fe1e7086ea0f3dbda57152d5a922ef9268ac14eb18ae8,5042.36865234375
10,4877.41455078125,0.84765625,707.4646145540689,612,12,7.62031206377537,1.875247723809967,1.6302560732083864,4f7c8bb78b818d2203300c590fb424c4907102fe181c36d2c09c55e5c333735a,42e616eaf5da00eb7055c71546df1c0e8b8dd2f308f78c11c373a441bb6c0d91,5051.7998046875
11,4874.0068359375,0.853515625,700.9894884003626,605,9,8.478155048144897,2.0418050566748036,1.7413338734583257,c98f5c3a8c091f81f3bac46d38335b646402fcbe1d4d162788c4d253f90346e5,7145023e697bad007796e2abf37e8d3e2d0d3ba555b01ed118174f43fddeebb4,5058.00146484375
12,4869.7626953125,0.8544921875,706.7051332613443,598,18,9.272581621612247,2.20565881682676,1.8644254477883024,58090bed7ef5223d78d391a975e985218d9a108aca0cfb5d1c24df7fc402dd36,b4d3fe4db9ba0462996eaec794d0195785da2054e862f5255d10b0ea920039cb,5063.4072265625
13,4865.5341796875,0.8515625,729.7922744553236,590,9,9.841188451097603,2.39393081848996,2.017516746578543,5b7ba93af3bad7fa956b60b341f276ff8087bea1c32d8f4f0443d1a2fab043cc,8e7280aad477ca0415750e25a5f8442c0d221c6328a92adba8e6d36ff3e48492,5071.052734375
14,4861.55517578125,0.8369140625,729.7109165661972,591,13,9.564588848045952,2.5596323221171526,2.1024639576988418,95754acbdbcf675999cd42bf4db5193c0c3e16ec1c894b9a56220e3eb494b725,7f6bb969ac4fadbff4e20ed58d402b244478dd5fca777719cf833a910018a9ec,5075.384765625
15,4859.10888671875,0.8642578125,793.3674364204627,613,7,9.367440810045764,2.695762978641093,2.22735290753472,a9fd8e2911d6a69ddd702a2ed7dca7111c8e31ad4f02031dade282fc95ce0826,4ad53356df6ab7cc5bee350242942c0718ad487aedb9710e527f1c9679cff550,5080.14892578125
16,4855.5302734375,0.8662109375,780.8279365497852,607,9,10.10963485596667,2.872967192291663,2.311414165348713,a6d7e04401e51e26167010f605c92fbb9635710f75eafd9d6e87d42f36ed0c6e,c142b85cf4297eca2c1585101e74461ae78f7d755be6a1565530aed22327c256,5084.9453125
17,4850.96875,0.8642578125,745.1533602060006,598,10,10.724118172504621,3.0187815899216073,2.412438821108007,e3268afa827199ff02fb9d1d7245a765d03de8e2c18ede9f999bb0412c0e89d0,7a28d15ef9bbc56bb3320de92f8bbdf2603ad1de9702cfdca021a48147eecb10,5089.33740234375
18,4846.103515625,0.8349609375,709.989752354793,601,14,10.677317795430938,3.2444195887548304,2.5832948315390025,1b49eec9a463f50f55ed7a39c78350733a84a63aba868ab5625daea94d5ac297,10ebe84f07b96b3652ff9754ba21565b795e9ce257cf0b5ba4be4764dd9aa429,5092.48291015625
19,4839.94482421875,0.8291015625,674.0204813589845,589,9,10.67726858684081,3.4866934309207145,2.7591898467808367,f6a3f46de95ba12b71921d65d43f234e8db63babf57c961b9c94e769a4c2bdf1,f67e7be1aab92210d38283e697f4dc70f031271efea868bf3a3a74c80b306e1a,5089.14892578125
20,4836.4599609375,0.8486328125,756.9206924859845,607,9,10.64395188166936,3.6953419405410077,2.904954442480395,120a1c4b942aa862c57036140d680b9e7721ed5a0e213b3e999229c4865ae0d9,6f95d5a9fb49a79028ec563223faf350c8490983eb6c35497bb11b9921081d36,5089.53955078125
21,4831.84521484375,0.84765625,731.1549052717116,611,10,10.830926795011257,3.933897828286263,3.0410070189657428,3740c5d82acfb2630452b16aead5d76ef109874b27b8d9928d59e8a1f13a1fae,199ec0dbaa783621b7ca199d055957d5c4c9b893f28715f1d666e1a6694ebd2f,5090.3681640625
22,4827.7265625,0.873046875,752.2975968836964,605,10,10.917630604928833,4.01015380017044,3.1367569007272826,e5e7c9d318c5856b65df6eab77261f2fdde43bff091f90f7247e0342c97e98c8,a8a399e9305153af065a16be230d95f5c7ac0dc6c8bd77f3f29b4bbd6541df69,5096.38134765625
23,4824.26025390625,0.8759765625,763.8568532549489,597,12,10.783538511401701,4.1471338446792565,3.2723051412381046,fd6ad2ae26958421104a9d0b1e6782f03b1bf9d5fc13aef457abbdba7075e389,381eae20f73a09796f5a1c78a81184e98e49f02b731cd63686faba75f84f230a,5104.25927734375
24,4819.43017578125,0.8740234375,769.7248921763763,617,7,11.289839099629189,4.303867444006054,3.3549870395676167,c3176f4ab39a242442eec396268edb0d465884fcebb3f8d3b3dc3d464524ddae,9fd06ae3fe673d1472bfd12fce20543a659a4f87f5593715e4383c62ecadf046,5111.69189453125
25,4815.6962890625,0.873046875,784.5274606392887,605,7,11.378075753300408,4.470038953107338,3.4354427391073203,e5a2e066a8ed6ccc6d3f994cbd6b72557fc450a96e43edbdaf75ef44e04c733f,0c485c37ccb8fe49b8a34846cb0a37e7c177465109faa6faf78b36c5a075406b,5115.78271484375
26,4812.89404296875,0.8935546875,825.9761575952944,607,7,11.460890909363084,4.585695268298728,3.4964739076628235,e4512e365f4c3aaa362108b4d5b990d796d047e29809d7075b35ab5e0dba7419,9b1a8dd8cbfe6edee230fe9c58b7764efebdcf5250ba0d1fc11a89722035bac4,5119.759765625
27,4809.3076171875,0.8671875,815.1184653798342,607,10,11.63795574624388,4.702372710029861,3.6239599509112344,a263660e055a0421910bb46f532b5eb3451664ac30280c1496d6a2d81c5103f8,3525101cf5e9f170b8f73ab0d6cd2e468bc942ed7c1147baf142de5bde72a248,5122.873046875
28,4805.81396484375,0.8779296875,820.3658798607315,612,7,11.64417435443455,4.911475020341692,3.722041079183467,10fecfffa08061cbfc40cfe6d9e79e17aa5a560ed2a1d260c0b827ac605e6ff9,d45bdcab8bd7f6229e07c149d8d2bca7d41076f46b91369178a090c29a98694c,5125.59375
29,4802.01171875,0.85546875,799.044334206003,615,11,11.88765271094421,4.9850983662881205,3.8616503953029877,46ab16b6f4d2c02ecee49a4902d531044c22397b07ca5aa6a81edd3123b1a25e,092c38d406a52e2c81d70800455bba44df149c7b7320afcd6e82883a098eb063,5129.47314453125
30,4796.9052734375,0.9013671875,818.5111405213362,616,10,13.083334781244503,5.121558238655316,4.0367410135115325,d05b37556f71efc0cc7529cb18496ae8d5667b8627972ffc8216c775b37a5141,ae153daa9104b5838ebc1e7a01b2e10f4bfbac5b30613fd6d2fde760084ceacc,5136.4375
31,4790.04931640625,0.873046875,790.3680434535084,600,9,14.258797452820769,5.2386732023059785,4.130325704559116,8f1a0944f79c6ce33cfc30796124a36178c71a5cd6f9a18a4314a290b15be75e,8dcf723d2890e7cd4d3ce3a816556d160537ec94a1fe0aa560cf283820f7e5ec,5145.65087890625
32,4783.16015625,0.8583984375,790.1772855941558,622,9,14.920858074413001,5.310442929332054,4.1261136221617445,72d6cd61a25970bb84e92c1881a9e7f7f7c64d625ca4a8bee8a5e6b4dcd23242,d05bafcfde10a87294349f4398afcfb5f70b4605a48a39789b9255d37430c45b,5151.46435546875
33,4778.787109375,0.857421875,822.4052596674074,608,9,14.528020695169051,5.5638675202000725,4.20568229237346,cd12249ae8b8cfb07c633997c6b130f8a77d685b0b81a92f003a6d1dda748c97,94b408493c94f1872db78dcfdfbb524e197dd734eb4653f3f9d57dc7bbae7c26,5156.146484375
34,4774.68994140625,0.859375,845.883086057967,622,8,14.083845936988109,5.656824347244623,4.270163229017454,9ee79d86fa26b8acabdaa88fec71b8466350242e21b7ac4b76bfd6b399b5b9a0,4608ade7013fca60ee5b0a00da65d6af09e7ab62a7f8ed41871bf68b47a2f737,5162.02392578125
35,4770.724609375,0.857421875,831.5985593761035,621,7,13.770874635354767,5.75376371729043,4.383000341587354,014633d2c98efc9076dfd7cc5dc8c88e0cb73c6bc5f442726645f3f158e732c9,db29670952a699e096883a1515e48ca69dd97f39f53b41501110f56073bf6601,5168.29638671875
36,4767.1103515625,0.896484375,861.835023839535,617,7,14.115601594704938,5.820238240013826,4.419746985814028,b5c23d7b4182996cdc56f417255f562c73bc3cf654da92e39368f3c6ce1f1e25,868920c4b6780d425721ca40d8cc3e275b3f31f3a7e001a243c1c6e88a1ba743,5174.349609375
