seed,B0_test_mse,B0_test_rmse,B0_iteration,Bpost_test_mse,Bpost_test_rmse,Bpost_iteration,Bpath_test_mse,Bpath_test_rmse,Bpath_iteration,Bpost_minus_B0,Bpath_minus_B0,Bpath_minus_Bpost
0,30.62302017211914,5.533807023389878,30,20.8811092376709,4.569585236941193,30,23.1492862701416,4.81137051890016,35,-9.741910934448242,-7.473733901977539,2.268177032470703
1,4.674598217010498,2.162081917275684,1,2.844804525375366,1.6866548329090236,1,2.845270872116089,1.686793073295029,1,-1.8297936916351318,-1.8293273448944092,0.00046634674072265625
2,13.347843170166016,3.653470017690855,6,4.907924652099609,2.2153836354229055,6,6.747832775115967,2.597659095246327,6,-8.439918518066406,-6.600010395050049,1.8399081230163574
