condition,seed,K16_expected_mse,baseline_expected_mse,scaled_expected_mse,delta_expected_mse,delta_bias_squared,delta_variance,baseline_native_rmse,scaled_native_rmse,baseline_high_K_disadvantage,scaled_high_K_disadvantage
A,0,15.52607118345072,61.26250659668381,42.675690431824385,-18.58681616485942,9.150588602392651e-05,-18.586907670745447,7.444697402139163,5.986083988096286,45.73643541323309,27.149619248373668
A,1,15.528659388105549,42.89314521920151,29.078135855390293,-13.815009363811214,0.00010290072116452233,-13.815112264532374,6.2706818996705795,5.120424929714153,27.36448583109596,13.549476467284745
A,2,12.767574074995027,33.10935042777377,21.752760356388844,-11.356590071384925,9.181754352145429e-05,-11.356681888928446,5.29649718070133,4.252683096013626,20.341776352778744,8.985186281393817
C,0,3.8335454830997833,6.985908576005202,4.180940494203129,-2.8049680818020732,0.0005736055506678205,-2.8055416873527417,2.398822813918955,1.946281322867945,3.1523630929054187,0.3473950111033455
C,1,4.485527831197324,6.774008834915907,4.1197871677163596,-2.6542216671995478,0.000604722555353667,-2.654826389754901,2.1620820071716667,1.6866472988981778,2.2884810037185837,-0.3657406634809641
C,2,3.7306004625879123,6.862901917282102,4.137753781069407,-2.7251481362126944,0.0005647915935733882,-2.725712927806268,1.6770067563699853,1.4462467411601836,3.1323014546941894,0.40715331848149505
