iteration,training_noisy_mse,acceptance_fraction,pre_resampling_ess,unique_parents,maximum_offspring,post_amplitude_norm,post_frequency_rms,post_centered_frequency_rms,proposal_sha256,acceptance_sha256,internal_noisy_mse
1,4895.34228515625,1.0,505.3477642579067,558,19,3.989073079521028,0.2693469413595522,0.2682521975598787,521ae1964148df098eed480a928b0b5a394abe5a831b3f8532a583b35b9affdc,a7d2018b68b6b9a26ed947662a5154b7632ec6784f4efedf4038ca58bf899537,5087.189453125
2,4894.30517578125,0.83984375,706.0358541215959,601,13,4.187389756581675,0.4126336971027185,0.4051094615229468,f78724832b50cfea2856a3a277cf7f65a022abec3a6002c7c997f8996400f687,e5b2ae180b19efe50928d1259b4d06b14abaea9c50e3468c024aa57dbbf1276d,5089.46923828125
3,4889.3857421875,0.9140625,606.6491154626391,603,18,8.278033069524614,0.5698015892533922,0.5479191813862916,1bc203c75d7e34cbce49dcb597c733313c35d8603543e608a0a32dd95b26975e,955a7298281f593f8e9420e61301b535eee3b98d48249bf1216216921f4ba9ec,5083.67529296875
4,4884.77734375,0.7626953125,584.3880903689135,595,12,7.74641600255414,0.7315573534821463,0.6851006909307414,932eb34064697d7cffe97af0b8491fd23d90bc962ee5bc632f2ac71ce918f153,e458526c7f4516441ba01acf52ebeb7624f579841094cdb112c6337457f1f150,5079.60546875
5,4883.01416015625,0.724609375,697.1839607083747,610,10,6.707539100750971,0.9092358333362862,0.8159777358819761,156137edcabb9e74f9138e8818f9027ff4957dd74e2169ddc714ddbcf45661b4,6884d4459ec1ea6999ef0ec573f6bc2b12a06099bd4508f2180d5b723806fb2f,5080.5166015625
6,4880.0068359375,0.837890625,691.5519166337413,614,9,7.452837670217572,1.0836943911763326,0.9526659140129415,1343be86dcb6e720e88686a57599b171bfc2368baf5ac4558a1807891bfcdb2b,dfca9a97ee08524dd853d797cb891d463cf29f3f481797dad1f01fbfb4021659,5080.4658203125
7,4877.62109375,0.8330078125,701.7568001403895,588,11,7.201100803088337,1.3144630305585043,1.1101378440880025,9a29e65c95b20caf1a78bc361066b07c3dea2061580733d8597495beb28be8bb,057a4af5275f9ca8921a402def37b085e9cc452d5685834e7fa88b3ca8ff4df8,5083.31396484375
8,4875.9638671875,0.8173828125,757.2084653539473,594,8,7.179128615370096,1.4796144355219885,1.2182660254921993,a7b1b4730df1f4aca24c448beec91606a167f2574116f83323599609b729d055,11d2e19f79a07065f24b6efc67318d563f0e97f6e26b96c3ebd4bf868c68bc1f,5082.1337890625
9,4873.74072265625,0.8798828125,743.4060645308514,613,9,7.890036586637141,1.698830941871482,1.3752301198128563,26f5ccfa58581348d3fac3aa5beb2db49f4c9e80c08ceddf219aee87a14e9564,c17b43b421997df0abad98017cb907e7d50dc1a809d7c640d05579aeb4bf4a02,5082.23291015625
10,4870.9814453125,0.884765625,780.0278667849961,609,8,8.706240238994292,1.9085513517903505,1.4877681401213172,72103c6a5c57f0845f12cb06b974cd8aea1f22d9fa27105530a4100046258a2d,3fcad2f5901535926172a3c514055b6b08f140191b1962ad94b8657f2dc21f6a,5081.6484375
11,4868.46826171875,0.8603515625,803.2476636665303,608,10,8.736473636026497,2.110704311483413,1.5754968068522803,6afa96299861c2d075e51e3c943f0b34c446d459fdd1f20a8dcb88b6a50c00f0,fe7696204d2a0fc94f72ee5ab89f7fa9aa1acd0abc65d1fffb356d22a7a0054a,5080.62646484375
12,4866.3427734375,0.8779296875,813.6185878832048,615,9,8.576785654569152,2.265264819889472,1.6553768446716877,7a5fc558f5b7b86f53a6cbbdab5758e54b9982d33f4009c17778e26f44664238,ce3fd7fb0b93646a8d6bccdb513777092fa0e60ae7faf4939a164fb9deb2ea3b,5081.24169921875
13,4863.67333984375,0.8642578125,776.33182189182,634,8,8.77357068179215,2.3474325270053895,1.7395988543931675,611b9556288f2e71734756b786548e07373790bdde314a70efa9002f17f0eeca,7e857d7893a55cb7ba22cdcd39f3eab34d362b380ce7df176776027f7973228a,5082.36572265625
14,4861.361328125,0.859375,808.6945302005691,621,7,9.132630100631633,2.514375122469882,1.83683862096979,48c34d5461dac6fb4825180bf82282f078167e6181aa33f059e942080b785ea1,9671926f1846d42d32f23620ab7a8f0ad92fa3ab533d46752877ae146f4e72a9,5084.23876953125
15,4858.9345703125,0.8876953125,814.1775981258492,606,8,9.303000668210764,2.6535029400275074,1.9475885153335664,50b59e4ae3966f346053ac9b0047cce081de2b1ab8d758c3a645ad157198c010,03fded839e64aad8af001bf27db27a2690b8a52b4f6cce6998cc54c3ec7a5412,5087.607421875
16,4855.90087890625,0.8642578125,777.9745244653567,613,12,9.507476719776909,2.7759736808500852,2.0717274947028113,1c426f3cf6d34f02c573bb819fcb2e6ad8613fd5aafdb75154fa9a9808f5a854,e2b0d2be66df0b66e0e347c8c6a3537a9c87f79daac680e703b4f2715e22442f,5089.04638671875
17,4853.0078125,0.8857421875,806.9880189791883,612,8,9.99141599659795,2.894290354513199,2.2423013329551726,46118383aee8679aa4355fe5a87e34776087534a1a615310e35461f92a6a126a,3920f72bbff24268f76b1427601058b90804cca79a9db4c13a42ad91d8dc4556,5090.76513671875
18,4849.333984375,0.845703125,759.7750961123512,613,11,10.151525439489085,3.0864411548738704,2.3947776843202435,792a0eab95dc8a70f6ca7572cbdaa7731a391d2628bff13d9164f83c1c1def69,9057a4cb871c612b37e2d95494b74c959d32cf54f8bfb984e8401482c42e2775,5091.32177734375
19,4844.939453125,0.8583984375,753.22667488871,598,9,10.57036950839454,3.3188097379743797,2.557280328092185,eb92e5a28671cefc00ef95b58a2975bb087f8e4a6fb23dc5ccbb114e72c98843,d4167b7068b64b1a352ea53a488c7722cdbdc69cb4b19dfe12212abb006c2776,5094.62548828125
20,4841.3515625,0.880859375,788.1231846528885,616,7,11.018137201740075,3.505504418293486,2.7328657922029076,2ccce52845721c264731fc8d96defc242298a641d3102b6bce61b5fdbe58882c,997fea158e6b64ca6e562a942daef34c23f30ad237550227b30c3dba4824d061,5096.0498046875
21,4836.61376953125,0.8623046875,745.1685238185473,612,7,11.225003668950837,3.712556702749998,2.84280726397525,34067541160e7ce177f3f77c611493f22ac75d7ac888e42ea05e73c14b759211,b5a15b1c88cc841de93409152e67285543c85d2808c4829ca2a151d625742f53,5093.77197265625
22,4832.72607421875,0.8701171875,756.2348208210473,607,7,11.235668686064349,3.8495768630481835,2.9212541294424197,eca1f6fb7727030f1f752ac7f6ebb50c6a42a28ed8d680ab9320bc977c9a66d8,1dafae3797a9597f197ef66489c238233ba5c50fb3d80b869f53b3ff88f4a638,5092.98486328125
23,4829.529296875,0.869140625,791.3270506290065,623,8,11.086329601882232,4.011834361135122,2.99070576527445,3646e48ebc524cbfc49b42fbfd1d9810660edb06a2f2a94be00e2ddeb01c93aa,104d77cb8a1b855168123db99df2662f195940f9de652fb57b367db3a2983590,5093.56787109375
24,4825.6806640625,0.87109375,783.9165817620768,603,7,11.162804559910674,4.151156220643383,3.1136368724310874,40d5848cc04f52488923a2473ac49ff52f1dc02343fd4986dc1b6916ca59df13,1f926a2f5eefbf5dd49018d0f5197b36ac9c0bf794b6bfcc485ebd1b605cee5a,5097.38623046875
25,4820.60400390625,0.8681640625,759.0931067640538,616,11,11.368889170700479,4.253951971652687,3.2859626591662585,3ebc4825085c1bdf799306475c7cd83500125c6fa09c4a79ddbbd5e7e38aad88,bc6a34ce61e89133a171611974b8bc3d7c2fcd1cef74b8754cc0a60e98f1ce6c,5104.3720703125
26,4816.470703125,0.875,788.2885000421968,606,12,11.509825811535517,4.444821289159019,3.4052100716559783,f7034502c2d6d1ae90e17a89d43740c93b12804b2a76676375acd4453f11845b,ff280fd46ed1f6d823b65a71b173eb9748e107341116924460c76a984209819a,5110.08203125
27,4811.94677734375,0.8642578125,781.8013777363321,629,8,11.856488366585783,4.63953976762839,3.5214433348699283,ae4bcc02a187c5a9758b509a4421a904d60deba99d203ee6fc143c14322f382f,dae15bdddea78796a13a62046d24ada77e5b7f05ec414b8b7a126d9dc663ad6c,5116.03466796875
28,4805.44140625,0.8701171875,740.0545658359231,610,9,12.380905495405978,4.872038155072612,3.6937040349829315,9982b718a841adc706ee739c58a738152ccc485fa27fe151f9f40e89e155bb41,6917d292b835e8aa3df495f8e0343ad2d470b3338a36abb63d7432db7507ab5e,5118.27978515625
29,4800.9501953125,0.8623046875,795.261211173226,624,8,12.50490092462512,4.986897697142222,3.7484985051664825,a35b34fed8d3d5a7b59158af9b4604f8c1332e72b3313103f9a49bce9bf94c7a,c9eb51a4edde951ff6581d1b67e1be6e30202e440dd2e0759d490299461f7180,5122.23291015625
30,4795.89306640625,0.841796875,764.7521826679479,615,8,12.517021118727014,5.150599585755143,3.893463161512909,8a2e689ed3c879ebde6db6b1c7ef3570ef5db77f067afd79c0833d81d5844389,6084568e82d4f540258ca6b27aec731bff6c32863796e90775e40678dc8ce7e9,5122.0595703125
31,4790.8759765625,0.876953125,791.8599773500517,626,7,12.792625203047052,5.2854164437908,3.9465452774039806,e01641317d0c36991055fd484330d1be70669f06976800cf7446301ed8e5fcc9,5256100f5814542545573fe68ae36c98c8b43dd715754221cc42ee6bdfbfd0f8,5122.31298828125
