h,lambda,seed,test_drift_rmse_change,test_covariance_rmse_change,test_nll_change,test_raw_spd_violation_rate_change,test_min_raw_eigenvalue_change
0.0001,0.008,0,-0.025752782821655273,-0.0006817653775215149,0.010509490966796875,0.012400001287460327,0.035477206110954285
0.0001,0.064,0,-0.04848022758960724,-0.0018476322293281555,-0.03347301483154297,0.010299980640411377,0.019431278109550476
0.0001,0.008,1,0.01710355281829834,0.001197226345539093,-0.0013017654418945312,-0.006000012159347534,0.008875444531440735
0.0001,0.064,1,-0.2883710116147995,0.0003703683614730835,-0.013631820678710938,-0.001900017261505127,0.02176637202501297
0.0001,0.008,2,0.006166726350784302,0.0017887651920318604,0.023604393005371094,-0.02580001950263977,0.00018836557865142822
0.0001,0.064,2,0.08540025353431702,0.0005360022187232971,-0.008375167846679688,-0.01510000228881836,-0.012602321803569794
0.0004,0.008,0,-0.023209646344184875,0.00022837519645690918,-0.024546146392822266,0.008500009775161743,0.022800102829933167
0.0004,0.064,0,-0.04996927082538605,-0.0006720274686813354,-0.027570247650146484,0.0049000084400177,0.025937475264072418
0.0004,0.008,1,-0.009979695081710815,-0.0015854686498641968,-0.004667758941650391,0.02459999918937683,0.00729573518037796
0.0004,0.064,1,-0.11529482901096344,-0.0006077662110328674,-0.007881641387939453,0.011299997568130493,-0.018387004733085632
0.0004,0.008,2,0.022545337677001953,0.0010055899620056152,0.08400249481201172,0.01840001344680786,-0.006915837526321411
0.0004,0.064,2,0.002177298069000244,0.0024694502353668213,0.024255752563476562,0.011000007390975952,0.002754196524620056
0.002,0.008,0,-0.008547291159629822,0.00017180293798446655,0.045063018798828125,0.0049000084400177,0.022341161966323853
0.002,0.064,0,-0.008434202522039413,-0.001132860779762268,0.035326480865478516,0.006700009107589722,0.02734508365392685
0.002,0.008,1,-0.011656653136014938,-0.0006338581442832947,-0.10254859924316406,0.005199998617172241,0.0025393590331077576
0.002,0.064,1,-0.019389133900403976,0.00022266805171966553,-0.054811954498291016,0.0013000071048736572,0.019992336630821228
0.002,0.008,2,-0.012412860989570618,0.0006104260683059692,0.0049839019775390625,0.010000020265579224,0.010386630892753601
0.002,0.064,2,0.01698237657546997,0.000519871711730957,0.008948326110839844,-0.003600001335144043,0.01672135293483734
