seed,floor,combination,projected_covariance_rmse,quadratic,logdet,constant,nll
0,1e-08,true_drift_arff_covariance,0.11200276952763989,28338.088955368854,-14.298238185521608,1.8378770664093453,28325.62859424975
0,1e-08,hybrid,0.11200276952763989,28360.09796942594,-14.298238185521608,1.8378770664093453,28347.63760830683
0,1e-08,arff_original,0.11200276952763989,29764.21351118043,-14.298238185521608,1.8378770664093453,29751.753150061322
0,1e-06,true_drift_arff_covariance,0.1120027683750724,284.0283093208706,-13.232601804483965,1.8378770664093453,272.63358458279606
0,1e-06,hybrid,0.1120027683750724,284.24704908532976,-13.232601804483965,1.8378770664093453,272.85232434725515
0,1e-06,arff_original,0.1120027683750724,298.2933339493446,-13.232601804483965,1.8378770664093453,286.89860921126996
0,0.0001,true_drift_arff_covariance,0.11200265803647946,3.412870638206061,-12.166637258866457,1.8378770664093453,-6.9158895542510495
0,0.0001,hybrid,0.11200265803647946,3.4148995046507467,-12.166637258866457,1.8378770664093453,-6.913860687806365
0,0.0001,arff_original,0.11200265803647946,3.5568832779601873,-12.166637258866457,1.8378770664093453,-6.771876914496923
0,0.001,true_drift_arff_covariance,0.11200211438608396,0.8343684711767188,-11.630660562001594,1.8378770664093453,-8.95841502441553
0,0.001,hybrid,0.11200211438608396,0.8345143909030199,-11.630660562001594,1.8378770664093453,-8.95826910468923
0,0.001,arff_original,0.11200211438608396,0.8498013282715571,-11.630660562001594,1.8378770664093453,-8.94298216732069
1,1e-08,true_drift_arff_covariance,0.11638469787901977,29871.027369789816,-14.200361089511699,1.8378770664093453,29858.66488576671
1,1e-08,hybrid,0.11638469787901977,29880.092315215392,-14.200361089511699,1.8378770664093453,29867.729831192297
1,1e-08,arff_original,0.11638469787901977,32012.63319967566,-14.200361089511699,1.8378770664093453,32000.270715652554
1,1e-06,true_drift_arff_covariance,0.11638469666904738,299.27688088502737,-13.170875294434062,1.8378770664093453,287.94388265700263
1,1e-06,hybrid,0.11638469666904738,299.3677428531034,-13.170875294434062,1.8378770664093453,288.0347446250787
1,1e-06,arff_original,0.11638469666904738,320.695962671676,-13.170875294434062,1.8378770664093453,309.36296444365126
1,0.0001,true_drift_arff_covariance,0.11638458036730782,3.554356662402794,-12.141086132962707,1.8378770664093453,-6.7488524041505675
1,0.0001,hybrid,0.11638458036730782,3.5554913976318274,-12.141086132962707,1.8378770664093453,-6.747717668921536
1,0.0001,arff_original,0.11638458036730782,3.77156241853805,-12.141086132962707,1.8378770664093453,-6.531646648015314
1,0.001,true_drift_arff_covariance,0.11638395218721058,0.8558994284280041,-11.622606388049933,1.8378770664093453,-8.928829893212582
1,0.001,hybrid,0.11638395218721058,0.8559958941844761,-11.622606388049933,1.8378770664093453,-8.92873342745611
1,0.001,arff_original,0.11638395218721058,0.8792607568018357,-11.622606388049933,1.8378770664093453,-8.90546856483875
2,1e-08,true_drift_arff_covariance,0.11600724275943408,36894.9415592794,-14.15339224190471,1.8378770664093453,36882.62604410391
2,1e-08,hybrid,0.11600724275943408,36978.13047236476,-14.15339224190471,1.8378770664093453,36965.814957189265
2,1e-08,arff_original,0.11600724275943408,37848.39104159228,-14.15339224190471,1.8378770664093453,37836.07552641678
2,1e-06,true_drift_arff_covariance,0.11600724125544207,369.5378945347111,-13.142557386080322,1.8378770664093453,358.2332142150401
2,1e-06,hybrid,0.11600724125544207,370.36972439222836,-13.142557386080322,1.8378770664093453,359.0650440725574
2,1e-06,arff_original,0.11600724125544207,379.07590230044656,-13.142557386080322,1.8378770664093453,367.77122198077564
2,0.0001,true_drift_arff_covariance,0.11600709540606097,4.26976693591814,-12.131450270880734,1.8378770664093453,-6.0238062685532485
2,0.0001,hybrid,0.11600709540606097,4.278024304752748,-12.131450270880734,1.8378770664093453,-6.015548899718641
2,0.0001,arff_original,0.11600709540606097,4.367147968782809,-12.131450270880734,1.8378770664093453,-5.926425235688581
2,0.001,true_drift_arff_covariance,0.11600618555755927,0.9312986736262421,-11.621477590580307,1.8378770664093453,-8.85230185054472
2,0.001,hybrid,0.11600618555755927,0.9321695419415555,-11.621477590580307,1.8378770664093453,-8.851430982229406
2,0.001,arff_original,0.11600618555755927,0.9423299710713898,-11.621477590580307,1.8378770664093453,-8.841270553099571
3,1e-08,true_drift_arff_covariance,0.1127183921486273,27333.0277827259,-14.344995725431904,1.8378770664093453,27320.520664066877
3,1e-08,hybrid,0.1127183921486273,27336.650421019887,-14.344995725431904,1.8378770664093453,27324.14330236087
3,1e-08,arff_original,0.1127183921486273,28835.13513271017,-14.344995725431904,1.8378770664093453,28822.62801405115
3,1e-06,true_drift_arff_covariance,0.11271839099830411,273.9290246017082,-13.269688487003686,1.8378770664093453,262.4972131811138
3,1e-06,hybrid,0.11271839099830411,273.9646535759291,-13.269688487003686,1.8378770664093453,262.5328421553348
3,1e-06,arff_original,0.11271839099830411,288.9610359485125,-13.269688487003686,1.8378770664093453,277.5292245279182
3,0.0001,true_drift_arff_covariance,0.1127182808519485,3.2905957067035634,-12.19386971402287,1.8378770664093453,-7.06539694090996
3,0.0001,hybrid,0.1127182808519485,3.290625209221075,-12.19386971402287,1.8378770664093453,-7.065367438392449
3,0.0001,arff_original,0.1127182808519485,3.442018163980968,-12.19386971402287,1.8378770664093453,-6.913974483632555
3,0.001,true_drift_arff_covariance,0.11271773918950218,0.8234058462766638,-11.652320120532368,1.8378770664093453,-8.99103720784636
3,0.001,hybrid,0.11271773918950218,0.8234014492743496,-11.652320120532368,1.8378770664093453,-8.991041604848675
3,0.001,arff_original,0.11271773918950218,0.8395260789687716,-11.652320120532368,1.8378770664093453,-8.974916975154253
4,1e-08,true_drift_arff_covariance,0.11586471572335828,41083.7496723367,-14.301054228751134,1.8378770664093453,41071.28649517436
4,1e-08,hybrid,0.11586471572335828,41086.230311862535,-14.301054228751134,1.8378770664093453,41073.767134700196
4,1e-08,arff_original,0.11586471572335828,42025.24020707008,-14.301054228751134,1.8378770664093453,42012.77702990774
4,1e-06,true_drift_arff_covariance,0.11586471405505339,411.42392777486833,-13.243937412557568,1.8378770664093453,400.0178674287202
4,1e-06,hybrid,0.11586471405505339,411.4489374446251,-13.243937412557568,1.8378770664093453,400.04287709847677
4,1e-06,arff_original,0.11586471405505339,420.8415634943828,-13.243937412557568,1.8378770664093453,409.43550314823455
4,0.0001,true_drift_arff_covariance,0.1158645520511214,4.69457079868324,-12.186719999529942,1.8378770664093453,-5.654272134437358
4,0.0001,hybrid,0.1158645520511214,4.6950072479682055,-12.186719999529942,1.8378770664093453,-5.653835685152391
4,0.0001,arff_original,0.1158645520511214,4.791418936447373,-12.186719999529942,1.8378770664093453,-5.557423996673223
4,0.001,true_drift_arff_covariance,0.11586351939665479,0.9822372571230011,-11.654672180546825,1.8378770664093453,-8.834557857014481
4,0.001,hybrid,0.11586351939665479,0.9823329830673027,-11.654672180546825,1.8378770664093453,-8.834462131070179
4,0.001,arff_original,0.11586351939665479,0.9929276835939298,-11.654672180546825,1.8378770664093453,-8.823867430543551
5,1e-08,true_drift_arff_covariance,0.10989774944402697,26983.689983160544,-14.235305986036838,1.8378770664093453,26971.292554240918
5,1e-08,hybrid,0.10989774944402697,27004.48327420878,-14.235305986036838,1.8378770664093453,26992.08584528915
5,1e-08,arff_original,0.10989774944402697,28026.58546521864,-14.235305986036838,1.8378770664093453,28014.188036299012
5,1e-06,true_drift_arff_covariance,0.10989774828418869,270.39460626743875,-13.208122776052193,1.8378770664093453,259.0243605577959
5,1e-06,hybrid,0.10989774828418869,270.6031274615244,-13.208122776052193,1.8378770664093453,259.23288175188156
5,1e-06,arff_original,0.10989774828418869,280.82190646216395,-13.208122776052193,1.8378770664093453,269.4516607525211
5,0.0001,true_drift_arff_covariance,0.10989763716236826,3.2545291374704735,-12.180483690627232,1.8378770664093453,-7.088077486747413
5,0.0001,hybrid,0.10989763716236826,3.2568109438018036,-12.180483690627232,1.8378770664093453,-7.085795680416084
5,0.0001,arff_original,0.10989763716236826,3.3586974838838977,-12.180483690627232,1.8378770664093453,-6.98390914033399
5,0.001,true_drift_arff_covariance,0.10989708217993907,0.8160962737661875,-11.662437929726698,1.8378770664093453,-9.008464589551163
5,0.001,hybrid,0.10989708217993907,0.816306285351686,-11.662437929726698,1.8378770664093453,-9.008254577965666
5,0.001,arff_original,0.10989708217993907,0.8274309587860965,-11.662437929726698,1.8378770664093453,-8.997129904531254
6,1e-08,true_drift_arff_covariance,0.11538586499787917,28923.681484264373,-14.362704757471741,1.8378770664093453,28911.156656573312
6,1e-08,hybrid,0.11538586499787917,28890.949782496493,-14.362704757471741,1.8378770664093453,28878.424954805432
6,1e-08,arff_original,0.11538586499787917,31395.419182193524,-14.362704757471741,1.8378770664093453,31382.894354502463
6,1e-06,true_drift_arff_covariance,0.11538586379004107,289.8013287570262,-13.28002924674594,1.8378770664093453,278.3591765766896
6,1e-06,hybrid,0.11538586379004107,289.47387461902576,-13.28002924674594,1.8378770664093453,278.0317224386892
6,1e-06,arff_original,0.11538586379004107,314.5195092792084,-13.28002924674594,1.8378770664093453,303.07735709887186
6,0.0001,true_drift_arff_covariance,0.11538574787542592,3.4563377025727227,-12.196974780233283,1.8378770664093453,-6.902760011251216
6,0.0001,hybrid,0.11538574787542592,3.453049426466846,-12.196974780233283,1.8378770664093453,-6.906048287357093
6,0.0001,arff_original,0.11538574787542592,3.7052931347909084,-12.196974780233283,1.8378770664093453,-6.6538045790330305
6,0.001,true_drift_arff_covariance,0.11538515003864273,0.8423227558669915,-11.65235604644498,1.8378770664093453,-8.972156224168643
