iteration,training_noisy_mse,acceptance_fraction,pre_resampling_ess,unique_parents,maximum_offspring,post_amplitude_norm,post_frequency_rms,post_centered_frequency_rms,proposal_sha256,acceptance_sha256,internal_noisy_mse
1,4896.05224609375,1.0,505.30385271858984,1024,1,4.478058291695029,0.20105345768208788,0.20090303367555282,521ae1964148df098eed480a928b0b5a394abe5a831b3f8532a583b35b9affdc,a7d2018b68b6b9a26ed947662a5154b7632ec6784f4efedf4038ca58bf899537,5081.84228515625
2,4895.11376953125,0.830078125,565.6885357098432,1024,1,4.199573511826446,0.2814989131057233,0.2810634663180107,f78724832b50cfea2856a3a277cf7f65a022abec3a6002c7c997f8996400f687,e5b2ae180b19efe50928d1259b4d06b14abaea9c50e3468c024aa57dbbf1276d,5087.82861328125
3,4894.48583984375,0.8955078125,625.7729677093998,1024,1,4.451633430315437,0.34710424782910215,0.3468773850689367,1bc203c75d7e34cbce49dcb597c733313c35d8603543e608a0a32dd95b26975e,955a7298281f593f8e9420e61301b535eee3b98d48249bf1216216921f4ba9ec,5089.435546875
4,4892.37451171875,0.8955078125,489.0863537446091,1024,1,6.657094977698114,0.40850062471226783,0.40801251915951364,932eb34064697d7cffe97af0b8491fd23d90bc962ee5bc632f2ac71ce918f153,e458526c7f4516441ba01acf52ebeb7624f579841094cdb112c6337457f1f150,5087.13818359375
5,4890.119140625,0.8466796875,439.5876822194111,1024,1,8.08316190518629,0.45879250352009515,0.4583726683718554,156137edcabb9e74f9138e8818f9027ff4957dd74e2169ddc714ddbcf45661b4,6884d4459ec1ea6999ef0ec573f6bc2b12a06099bd4508f2180d5b723806fb2f,5084.19189453125
6,4888.32568359375,0.796875,396.50085179214506,1024,1,8.762191304190305,0.4987072760034811,0.4985288400511437,1343be86dcb6e720e88686a57599b171bfc2368baf5ac4558a1807891bfcdb2b,dfca9a97ee08524dd853d797cb891d463cf29f3f481797dad1f01fbfb4021659,5081.4423828125
7,4886.08984375,0.798828125,379.6701788813177,1024,1,9.162795919645012,0.5365533745850497,0.5364724373004757,9a29e65c95b20caf1a78bc361066b07c3dea2061580733d8597495beb28be8bb,057a4af5275f9ca8921a402def37b085e9cc452d5685834e7fa88b3ca8ff4df8,5079.23681640625
8,4884.81396484375,0.8193359375,416.9039835601009,1024,1,8.815901012195857,0.5749282720161584,0.5746995105556758,a7b1b4730df1f4aca24c448beec91606a167f2574116f83323599609b729d055,11d2e19f79a07065f24b6efc67318d563f0e97f6e26b96c3ebd4bf868c68bc1f,5078.53271484375
9,4883.97998046875,0.8193359375,418.3561633435782,1024,1,8.532658884422933,0.6134407774204949,0.6131322572407676,26f5ccfa58581348d3fac3aa5beb2db49f4c9e80c08ceddf219aee87a14e9564,c17b43b421997df0abad98017cb907e7d50dc1a809d7c640d05579aeb4bf4a02,5078.5986328125
10,4883.095703125,0.8603515625,453.3631337454557,1024,1,8.536979797514416,0.6531545107110646,0.6526753924961239,72103c6a5c57f0845f12cb06b974cd8aea1f22d9fa27105530a4100046258a2d,3fcad2f5901535926172a3c514055b6b08f140191b1962ad94b8657f2dc21f6a,5080.072265625
11,4882.57958984375,0.8154296875,474.9313028069023,1024,1,8.297533953652335,0.6886443658209935,0.6881252313795309,6afa96299861c2d075e51e3c943f0b34c446d459fdd1f20a8dcb88b6a50c00f0,fe7696204d2a0fc94f72ee5ab89f7fa9aa1acd0abc65d1fffb356d22a7a0054a,5079.9658203125
12,4882.5107421875,0.8251953125,519.4206091182945,1024,1,7.799492728269497,0.7247587864443871,0.7242716766359473,7a5fc558f5b7b86f53a6cbbdab5758e54b9982d33f4009c17778e26f44664238,ce3fd7fb0b93646a8d6bccdb513777092fa0e60ae7faf4939a164fb9deb2ea3b,5080.072265625
13,4882.20703125,0.8388671875,518.6348172710408,1024,1,7.592243519721569,0.7551247950683742,0.7546028095002604,611b9556288f2e71734756b786548e07373790bdde314a70efa9002f17f0eeca,7e857d7893a55cb7ba22cdcd39f3eab34d362b380ce7df176776027f7973228a,5080.61962890625
14,4881.82421875,0.8623046875,551.6829617915046,1024,1,7.542038361990587,0.7902475726601677,0.7898331315285858,48c34d5461dac6fb4825180bf82282f078167e6181aa33f059e942080b785ea1,9671926f1846d42d32f23620ab7a8f0ad92fa3ab533d46752877ae146f4e72a9,5081.98681640625
15,4881.416015625,0.8427734375,540.2044769847585,1024,1,7.379633507244185,0.8261432889043908,0.8256912392768284,50b59e4ae3966f346053ac9b0047cce081de2b1ab8d758c3a645ad157198c010,03fded839e64aad8af001bf27db27a2690b8a52b4f6cce6998cc54c3ec7a5412,5081.9345703125
16,4880.88818359375,0.859375,561.9776034432309,1024,1,7.547997750456399,0.8528679933511036,0.8524206104416637,1c426f3cf6d34f02c573bb819fcb2e6ad8613fd5aafdb75154fa9a9808f5a854,e2b0d2be66df0b66e0e347c8c6a3537a9c87f79daac680e703b4f2715e22442f,5082.70849609375
17,4880.28662109375,0.8701171875,553.8136347971442,1024,1,7.668733479646106,0.8839038681198513,0.8832219897151358,46118383aee8679aa4355fe5a87e34776087534a1a615310e35461f92a6a126a,3920f72bbff24268f76b1427601058b90804cca79a9db4c13a42ad91d8dc4556,5083.42822265625
18,4879.2451171875,0.84765625,543.811458078109,1024,1,7.733444223766386,0.9139710363074149,0.9131114749573139,792a0eab95dc8a70f6ca7572cbdaa7731a391d2628bff13d9164f83c1c1def69,9057a4cb871c612b37e2d95494b74c959d32cf54f8bfb984e8401482c42e2775,5084.3369140625
19,4878.958984375,0.8623046875,550.6484340256654,1024,1,7.697245196325751,0.9394400107541468,0.938624893921135,eb92e5a28671cefc00ef95b58a2975bb087f8e4a6fb23dc5ccbb114e72c98843,d4167b7068b64b1a352ea53a488c7722cdbdc69cb4b19dfe12212abb006c2776,5084.7451171875
20,4878.86865234375,0.875,588.0389776421556,1024,1,7.611919907735229,0.9629662206469894,0.9620285871070363,2ccce52845721c264731fc8d96defc242298a641d3102b6bce61b5fdbe58882c,997fea158e6b64ca6e562a942daef34c23f30ad237550227b30c3dba4824d061,5084.38671875
21,4878.2841796875,0.8564453125,563.0865480221192,1024,1,7.833168725189966,0.9872752824329822,0.9865870852686528,34067541160e7ce177f3f77c611493f22ac75d7ac888e42ea05e73c14b759211,b5a15b1c88cc841de93409152e67285543c85d2808c4829ca2a151d625742f53,5083.197265625
22,4877.9091796875,0.85546875,550.3859164192268,1024,1,7.764083237920754,1.005193792082044,1.0044492762252633,eca1f6fb7727030f1f752ac7f6ebb50c6a42a28ed8d680ab9320bc977c9a66d8,1dafae3797a9597f197ef66489c238233ba5c50fb3d80b869f53b3ff88f4a638,5084.55029296875
23,4877.53076171875,0.876953125,550.665628513497,1024,1,7.676748543683252,1.0321223531537793,1.0313586535690245,3646e48ebc524cbfc49b42fbfd1d9810660edb06a2f2a94be00e2ddeb01c93aa,104d77cb8a1b855168123db99df2662f195940f9de652fb57b367db3a2983590,5082.88720703125
24,4877.4404296875,0.880859375,565.0550872090064,1024,1,7.559795138091312,1.0510295649601422,1.0502770632238814,40d5848cc04f52488923a2473ac49ff52f1dc02343fd4986dc1b6916ca59df13,1f926a2f5eefbf5dd49018d0f5197b36ac9c0bf794b6bfcc485ebd1b605cee5a,5082.87841796875
25,4876.609375,0.869140625,516.9354231064895,1024,1,7.837409975111042,1.0750830887559624,1.0746470233607395,3ebc4825085c1bdf799306475c7cd83500125c6fa09c4a79ddbbd5e7e38aad88,bc6a34ce61e89133a171611974b8bc3d7c2fcd1cef74b8754cc0a60e98f1ce6c,5082.96826171875
26,4876.35205078125,0.896484375,529.9391117105688,1024,1,8.064097770199774,1.0926997215226717,1.0923100150536706,f7034502c2d6d1ae90e17a89d43740c93b12804b2a76676375acd4453f11845b,ff280fd46ed1f6d823b65a71b173eb9748e107341116924460c76a984209819a,5080.56787109375
27,4875.9150390625,0.8779296875,546.1900906641113,1024,1,8.235449231696412,1.116313408090524,1.1160345880905698,ae4bcc02a187c5a9758b509a4421a904d60deba99d203ee6fc143c14322f382f,dae15bdddea78796a13a62046d24ada77e5b7f05ec414b8b7a126d9dc663ad6c,5081.17041015625
28,4875.890625,0.8896484375,557.9392097101438,1024,1,8.120718310527112,1.1341909011731535,1.1339755307349695,9982b718a841adc706ee739c58a738152ccc485fa27fe151f9f40e89e155bb41,6917d292b835e8aa3df495f8e0343ad2d470b3338a36abb63d7432db7507ab5e,5081.419921875
29,4875.17822265625,0.8720703125,511.95468388728835,1024,1,8.408147283952848,1.1555341078438834,1.1554083697703583,a35b34fed8d3d5a7b59158af9b4604f8c1332e72b3313103f9a49bce9bf94c7a,c9eb51a4edde951ff6581d1b67e1be6e30202e440dd2e0759d490299461f7180,5080.9296875
30,4874.73095703125,0.8828125,511.4995680731072,1024,1,8.490914379627577,1.1717626777885206,1.1716158419750202,8a2e689ed3c879ebde6db6b1c7ef3570ef5db77f067afd79c0833d81d5844389,6084568e82d4f540258ca6b27aec731bff6c32863796e90775e40678dc8ce7e9,5079.90234375
31,4873.34619140625,0.87890625,497.5332820744482,1024,1,8.926608605489397,1.1905771492500432,1.190481589529838,e01641317d0c36991055fd484330d1be70669f06976800cf7446301ed8e5fcc9,5256100f5814542545573fe68ae36c98c8b43dd715754221cc42ee6bdfbfd0f8,5078.9541015625
