method,seed,split,nll,drift_rmse,covariance_rmse,min_raw_eigenvalue,min_covariance_eig,raw_spd_violation_rate,numerical_nonpositive_eig_rate
joint_fourier,21,validation,-8.41273689,0.487279892,0.597635925,5.04823629e-06,,,
joint_fourier,21,test,-8.36026764,0.495823294,0.594082832,5.04561831e-06,,,
joint_fourier,22,train,-8.46910763,0.437663436,0.52615422,5.79404377e-06,,,
joint_fourier,22,validation,-8.52757359,0.437664181,0.529208779,6.33954596e-06,,,
joint_fourier,22,test,-8.45890903,0.444362879,0.52344811,6.38945767e-06,,,
joint_fourier,23,train,-8.37903118,0.474070728,0.870271087,4.93461494e-06,,,
joint_fourier,23,validation,-8.43427086,0.47347337,0.87634474,4.99853331e-06,,,
joint_fourier,23,test,-8.38531113,0.479893565,0.855838239,5.03381398e-06,,,
joint_fourier,24,train,-8.39128113,0.471573532,0.64745599,5.97610324e-06,,,
joint_fourier,24,validation,-8.42663383,0.472088873,0.646864712,6.05066043e-06,,,
joint_fourier,24,test,-8.37271404,0.479183167,0.663410366,6.12268195e-06,,,
joint_fourier,25,train,-8.49293232,0.406517744,0.682543218,5.03333513e-06,,,
joint_fourier,25,validation,-8.52987766,0.405152798,0.680732369,5.07313325e-06,,,
joint_fourier,25,test,-8.47491932,0.411771566,0.702521443,5.09135316e-06,,,
joint_fourier,26,train,-8.34040928,0.504905641,0.528192282,5.63932281e-06,,,
joint_fourier,26,validation,-8.37659931,0.505022824,0.528191626,5.78668323e-06,,,
joint_fourier,26,test,-8.33386707,0.508911252,0.533666432,5.72824092e-06,,,
joint_fourier,27,train,-8.41088581,0.353248596,0.824513733,4.04703542e-06,,,
joint_fourier,27,validation,-8.44544697,0.352852464,0.822610736,4.24401105e-06,,,
joint_fourier,27,test,-8.40381432,0.35724473,0.848837852,4.09623635e-06,,,
joint_fourier,28,train,-8.27095222,0.539345205,0.585115135,6.10175539e-06,,,
joint_fourier,28,validation,-8.32083797,0.538566351,0.587495983,6.11707901e-06,,,
joint_fourier,28,test,-8.28120899,0.545815766,0.581844628,6.18661079e-06,,,
joint_fourier,29,train,-8.36092472,0.412421018,0.740997493,5.60148555e-06,,,
joint_fourier,29,validation,-8.40687752,0.410703331,0.744944811,5.6912927e-06,,,
joint_fourier,29,test,-8.3557415,0.416448444,0.735881507,5.6564636e-06,,,
split_fourier,0,train,-8.261248588562012,0.5969700813293457,0.8897413015365601,,1.0877736713155173e-05,,
split_fourier,0,validation,-8.299440383911133,0.5962449908256531,0.8989014029502869,,1.1243012522754725e-05,,
split_fourier,0,test,-8.259541511535645,0.5980885028839111,0.8828497529029846,,1.1206353519810364e-05,,
split_fourier,1,train,-8.331302642822266,0.6792669296264648,0.6956823468208313,,6.422328169719549e-06,,
split_fourier,1,validation,-8.3679838180542,0.6784230470657349,0.7054663896560669,,6.56957217870513e-06,,
split_fourier,1,test,-8.332794189453125,0.6821550130844116,0.6882469654083252,,6.437218416976975e-06,,
split_fourier,2,train,-8.332353591918945,0.678076982498169,0.6423028111457825,,1.0143715371668804e-05,,
split_fourier,2,validation,-8.378518104553223,0.6772509217262268,0.6385416388511658,,1.0426508197269868e-05,,
split_fourier,2,test,-8.337756156921387,0.679081916809082,0.6442506313323975,,1.0255917004542425e-05,,
