seed,combination,scope,quadratic,logdet,constant,nll
0,hybrid,native_float32_floor_1e-3,0.8345137238502502,-11.630661010742188,1.8378770351409912,-8.958269119262695
0,arff_original,native_float32_floor_1e-3,0.8498007655143738,-11.630661010742188,1.8378770351409912,-8.94298267364502
0,true_drift_arff_covariance,native_float32_floor_1e-3,0.8343678712844849,-11.630661010742188,1.8378770351409912,-8.958415031433105
0,oracle,float64_unprojected_true_covariance,16034.054810181904,-18.420680769175245,1.8378770664093453,16017.472006479142
0,joint_mlp_drift_true_covariance,float64_unprojected_true_covariance,16122.680515830954,-18.420680769175245,1.8378770664093453,16106.097712128192
0,arff_drift_true_covariance,float64_unprojected_true_covariance,19184.96496344634,-18.420680769175245,1.8378770664093453,19168.382159743578
0,true_drift_arff_covariance,float64_floor_1e-3,0.8343684711767188,-11.630660562001594,1.8378770664093453,-8.95841502441553
0,hybrid,float64_floor_1e-3,0.8345143909030199,-11.630660562001594,1.8378770664093453,-8.95826910468923
0,arff_original,float64_floor_1e-3,0.8498013282715571,-11.630660562001594,1.8378770664093453,-8.94298216732069
1,hybrid,native_float32_floor_1e-3,0.8559958934783936,-11.62260627746582,1.8378770351409912,-8.928732872009277
1,arff_original,native_float32_floor_1e-3,0.8792607188224792,-11.62260627746582,1.8378770351409912,-8.905468940734863
1,true_drift_arff_covariance,native_float32_floor_1e-3,0.8558993935585022,-11.62260627746582,1.8378770351409912,-8.928829193115234
1,oracle,float64_unprojected_true_covariance,16034.054810181904,-18.420680769175245,1.8378770664093453,16017.472006479142
1,joint_mlp_drift_true_covariance,float64_unprojected_true_covariance,16110.353089974853,-18.420680769175245,1.8378770664093453,16093.77028627209
1,arff_drift_true_covariance,float64_unprojected_true_covariance,19894.866776038558,-18.420680769175245,1.8378770664093453,19878.28397233579
1,true_drift_arff_covariance,float64_floor_1e-3,0.8558994284280041,-11.622606388049933,1.8378770664093453,-8.928829893212582
1,hybrid,float64_floor_1e-3,0.8559958941844761,-11.622606388049933,1.8378770664093453,-8.92873342745611
1,arff_original,float64_floor_1e-3,0.8792607568018357,-11.622606388049933,1.8378770664093453,-8.90546856483875
2,hybrid,native_float32_floor_1e-3,0.9321691393852234,-11.621477127075195,1.8378770351409912,-8.851430892944336
2,arff_original,native_float32_floor_1e-3,0.9423295855522156,-11.621477127075195,1.8378770351409912,-8.841270446777344
2,true_drift_arff_covariance,native_float32_floor_1e-3,0.9312981963157654,-11.621477127075195,1.8378770351409912,-8.852301597595215
2,oracle,float64_unprojected_true_covariance,16034.054810181904,-18.420680769175245,1.8378770664093453,16017.472006479142
2,joint_mlp_drift_true_covariance,float64_unprojected_true_covariance,16180.11713986738,-18.420680769175245,1.8378770664093453,16163.534336164614
2,arff_drift_true_covariance,float64_unprojected_true_covariance,18741.79906624953,-18.420680769175245,1.8378770664093453,18725.216262546764
2,true_drift_arff_covariance,float64_floor_1e-3,0.9312986736262421,-11.621477590580307,1.8378770664093453,-8.85230185054472
2,hybrid,float64_floor_1e-3,0.9321695419415555,-11.621477590580307,1.8378770664093453,-8.851430982229406
2,arff_original,float64_floor_1e-3,0.9423299710713898,-11.621477590580307,1.8378770664093453,-8.841270553099571
3,hybrid,native_float32_floor_1e-3,0.8234015703201294,-11.65231990814209,1.8378770351409912,-8.991040229797363
3,arff_original,native_float32_floor_1e-3,0.8395261764526367,-11.65231990814209,1.8378770351409912,-8.9749174118042
3,true_drift_arff_covariance,native_float32_floor_1e-3,0.823405921459198,-11.65231990814209,1.8378770351409912,-8.991037368774414
3,oracle,float64_unprojected_true_covariance,16034.054810181904,-18.420680769175245,1.8378770664093453,16017.472006479142
3,joint_mlp_drift_true_covariance,float64_unprojected_true_covariance,16093.16188547309,-18.420680769175245,1.8378770664093453,16076.579081770326
3,arff_drift_true_covariance,float64_unprojected_true_covariance,19120.27788822514,-18.420680769175245,1.8378770664093453,19103.695084522373
3,true_drift_arff_covariance,float64_floor_1e-3,0.8234058462766638,-11.652320120532368,1.8378770664093453,-8.99103720784636
3,hybrid,float64_floor_1e-3,0.8234014492743496,-11.652320120532368,1.8378770664093453,-8.991041604848675
3,arff_original,float64_floor_1e-3,0.8395260789687716,-11.652320120532368,1.8378770664093453,-8.974916975154253
4,hybrid,native_float32_floor_1e-3,0.9823331832885742,-11.654672622680664,1.8378770351409912,-8.834461212158203
4,arff_original,native_float32_floor_1e-3,0.9929279088973999,-11.654672622680664,1.8378770351409912,-8.823866844177246
4,true_drift_arff_covariance,native_float32_floor_1e-3,0.9822373986244202,-11.654672622680664,1.8378770351409912,-8.83455753326416
4,oracle,float64_unprojected_true_covariance,16034.054810181904,-18.420680769175245,1.8378770664093453,16017.472006479142
4,joint_mlp_drift_true_covariance,float64_unprojected_true_covariance,16115.553841351668,-18.420680769175245,1.8378770664093453,16098.971037648902
4,arff_drift_true_covariance,float64_unprojected_true_covariance,18464.53873900753,-18.420680769175245,1.8378770664093453,18447.955935304763
4,true_drift_arff_covariance,float64_floor_1e-3,0.9822372571230011,-11.654672180546825,1.8378770664093453,-8.834557857014481
4,hybrid,float64_floor_1e-3,0.9823329830673027,-11.654672180546825,1.8378770664093453,-8.834462131070179
4,arff_original,float64_floor_1e-3,0.9929276835939298,-11.654672180546825,1.8378770664093453,-8.823867430543551
5,hybrid,native_float32_floor_1e-3,0.8163061141967773,-11.662437438964844,1.8378770351409912,-9.008254051208496
5,arff_original,native_float32_floor_1e-3,0.8274307250976562,-11.662437438964844,1.8378770351409912,-8.997129440307617
5,true_drift_arff_covariance,native_float32_floor_1e-3,0.8160961270332336,-11.662437438964844,1.8378770351409912,-9.008463859558105
5,oracle,float64_unprojected_true_covariance,16034.054810181904,-18.420680769175245,1.8378770664093453,16017.472006479142
5,joint_mlp_drift_true_covariance,float64_unprojected_true_covariance,16088.505764543212,-18.420680769175245,1.8378770664093453,16071.922960840446
5,arff_drift_true_covariance,float64_unprojected_true_covariance,18331.314062163143,-18.420680769175245,1.8378770664093453,18314.731258460375
5,true_drift_arff_covariance,float64_floor_1e-3,0.8160962737661875,-11.662437929726698,1.8378770664093453,-9.008464589551163
5,hybrid,float64_floor_1e-3,0.816306285351686,-11.662437929726698,1.8378770664093453,-9.008254577965666
5,arff_original,float64_floor_1e-3,0.8274309587860965,-11.662437929726698,1.8378770664093453,-8.997129904531254
6,hybrid,native_float32_floor_1e-3,0.842021644115448,-11.652356147766113,1.8378770351409912,-8.972456932067871
6,arff_original,native_float32_floor_1e-3,0.8691559433937073,-11.652356147766113,1.8378770351409912,-8.945322036743164
6,true_drift_arff_covariance,native_float32_floor_1e-3,0.842322826385498,-11.652356147766113,1.8378770351409912,-8.972155570983887
6,oracle,float64_unprojected_true_covariance,16034.054810181904,-18.420680769175245,1.8378770664093453,16017.472006479142
6,joint_mlp_drift_true_covariance,float64_unprojected_true_covariance,16068.140656690302,-18.420680769175245,1.8378770664093453,16051.557852987535
6,arff_drift_true_covariance,float64_unprojected_true_covariance,20657.94540453189,-18.420680769175245,1.8378770664093453,20641.362600829125
6,true_drift_arff_covariance,float64_floor_1e-3,0.8423227558669915,-11.65235604644498,1.8378770664093453,-8.972156224168643
6,hybrid,float64_floor_1e-3,0.8420216275980048,-11.65235604644498,1.8378770664093453,-8.97245735243763
6,arff_original,float64_floor_1e-3,0.8691558236270653,-11.65235604644498,1.8378770664093453,-8.945323156408568
7,hybrid,native_float32_floor_1e-3,0.9860907793045044,-11.688863754272461,1.8378770351409912,-8.864895820617676
7,arff_original,native_float32_floor_1e-3,1.0171170234680176,-11.688863754272461,1.8378770351409912,-8.833868980407715
7,true_drift_arff_covariance,native_float32_floor_1e-3,0.9859060049057007,-11.688863754272461,1.8378770351409912,-8.865080833435059
7,oracle,float64_unprojected_true_covariance,16034.054810181904,-18.420680769175245,1.8378770664093453,16017.472006479142
7,joint_mlp_drift_true_covariance,float64_unprojected_true_covariance,16160.634288589543,-18.420680769175245,1.8378770664093453,16144.051484886772
7,arff_drift_true_covariance,float64_unprojected_true_covariance,20742.207073016827,-18.420680769175245,1.8378770664093453,20725.624269314063
7,true_drift_arff_covariance,float64_floor_1e-3,0.985906092975132,-11.68886429504212,1.8378770664093453,-8.865081135657642
7,hybrid,float64_floor_1e-3,0.9860909948653589,-11.68886429504212,1.8378770664093453,-8.864896233767414
7,arff_original,float64_floor_1e-3,1.0171171801333831,-11.68886429504212,1.8378770664093453,-8.83387004849939
8,hybrid,native_float32_floor_1e-3,0.9204646348953247,-11.62289810180664,1.8378770351409912,-8.864557266235352
8,arff_original,native_float32_floor_1e-3,0.9302653074264526,-11.62289810180664,1.8378770351409912,-8.854756355285645
8,true_drift_arff_covariance,native_float32_floor_1e-3,0.920486569404602,-11.62289810180664,1.8378770351409912,-8.864534378051758
8,oracle,float64_unprojected_true_covariance,16034.054810181904,-18.420680769175245,1.8378770664093453,16017.472006479142
8,joint_mlp_drift_true_covariance,float64_unprojected_true_covariance,16060.365941774417,-18.420680769175245,1.8378770664093453,16043.78313807165
8,arff_drift_true_covariance,float64_unprojected_true_covariance,18099.41865852296,-18.420680769175245,1.8378770664093453,18082.835854820198
8,true_drift_arff_covariance,float64_floor_1e-3,0.9204864362396191,-11.622899090657587,1.8378770664093453,-8.864535588008621
8,hybrid,float64_floor_1e-3,0.9204644439066786,-11.622899090657587,1.8378770664093453,-8.864557580341561
8,arff_original,float64_floor_1e-3,0.9302651680978834,-11.622899090657587,1.8378770664093453,-8.854756856150358
9,hybrid,native_float32_floor_1e-3,0.8136031627655029,-11.626566886901855,1.8378770351409912,-8.97508716583252
9,arff_original,native_float32_floor_1e-3,0.8362329602241516,-11.626566886901855,1.8378770351409912,-8.952457427978516
9,true_drift_arff_covariance,native_float32_floor_1e-3,0.8135879635810852,-11.626566886901855,1.8378770351409912,-8.975102424621582
9,oracle,float64_unprojected_true_covariance,16034.054810181904,-18.420680769175245,1.8378770664093453,16017.472006479142
9,joint_mlp_drift_true_covariance,float64_unprojected_true_covariance,16061.773698550298,-18.420680769175245,1.8378770664093453,16045.19089484753
9,arff_drift_true_covariance,float64_unprojected_true_covariance,19945.550017494923,-18.420680769175245,1.8378770664093453,19928.96721379216
9,true_drift_arff_covariance,float64_floor_1e-3,0.8135880431616953,-11.626567693997703,1.8378770664093453,-8.975102584426663
9,hybrid,float64_floor_1e-3,0.8136032259607913,-11.626567693997703,1.8378770664093453,-8.975087401627567
9,arff_original,float64_floor_1e-3,0.8362330414988454,-11.626567693997703,1.8378770664093453,-8.952457586089514
10,hybrid,native_float32_floor_1e-3,0.9337810277938843,-11.645515441894531,1.8378770351409912,-8.873856544494629
10,arff_original,native_float32_floor_1e-3,0.947500467300415,-11.645515441894531,1.8378770351409912,-8.860137939453125
10,true_drift_arff_covariance,native_float32_floor_1e-3,0.9339879751205444,-11.645515441894531,1.8378770351409912,-8.873651504516602
10,oracle,float64_unprojected_true_covariance,16034.054810181904,-18.420680769175245,1.8378770664093453,16017.472006479142
10,joint_mlp_drift_true_covariance,float64_unprojected_true_covariance,16077.192380467202,-18.420680769175245,1.8378770664093453,16060.60957676444
10,arff_drift_true_covariance,float64_unprojected_true_covariance,18712.38327843915,-18.420680769175245,1.8378770664093453,18695.800474736385
10,true_drift_arff_covariance,float64_floor_1e-3,0.9339879653657576,-11.645516069267932,1.8378770664093453,-8.87365103749283
10,hybrid,float64_floor_1e-3,0.9337810112284407,-11.645516069267932,1.8378770664093453,-8.873857991630146
10,arff_original,float64_floor_1e-3,0.947500469951742,-11.645516069267932,1.8378770664093453,-8.860138532906847
11,hybrid,native_float32_floor_1e-3,0.8561784029006958,-11.662134170532227,1.8378770351409912,-8.968077659606934
11,arff_original,native_float32_floor_1e-3,0.8681602478027344,-11.662134170532227,1.8378770351409912,-8.956096649169922
11,true_drift_arff_covariance,native_float32_floor_1e-3,0.8551091551780701,-11.662134170532227,1.8378770351409912,-8.969148635864258
11,oracle,float64_unprojected_true_covariance,16034.054810181904,-18.420680769175245,1.8378770664093453,16017.472006479142
11,joint_mlp_drift_true_covariance,float64_unprojected_true_covariance,16112.221228504703,-18.420680769175245,1.8378770664093453,16095.638424801933
11,arff_drift_true_covariance,float64_unprojected_true_covariance,18577.761431299645,-18.420680769175245,1.8378770664093453,18561.17862759688
11,true_drift_arff_covariance,float64_floor_1e-3,0.8551092378291294,-11.662134498330646,1.8378770664093453,-8.969148194092172
11,hybrid,float64_floor_1e-3,0.8561785187488922,-11.662134498330646,1.8378770664093453,-8.968078913172409
11,arff_original,float64_floor_1e-3,0.8681603790870942,-11.662134498330646,1.8378770664093453,-8.956097052834206
12,hybrid,native_float32_floor_1e-3,0.8709872961044312,-11.640767097473145,1.8378770351409912,-8.931902885437012
12,arff_original,native_float32_floor_1e-3,0.8931627869606018,-11.640767097473145,1.8378770351409912,-8.909728050231934
12,true_drift_arff_covariance,native_float32_floor_1e-3,0.870395302772522,-11.640767097473145,1.8378770351409912,-8.9324951171875
12,oracle,float64_unprojected_true_covariance,16034.054810181904,-18.420680769175245,1.8378770664093453,16017.472006479142
12,joint_mlp_drift_true_covariance,float64_unprojected_true_covariance,16138.029769311186,-18.420680769175245,1.8378770664093453,16121.446965608424
12,arff_drift_true_covariance,float64_unprojected_true_covariance,20445.106059617003,-18.420680769175245,1.8378770664093453,20428.523255914235
12,true_drift_arff_covariance,float64_floor_1e-3,0.8703951708594457,-11.640767598421686,1.8378770664093453,-8.932495361152895
12,hybrid,float64_floor_1e-3,0.8709872122087461,-11.640767598421686,1.8378770664093453,-8.931903319803595
12,arff_original,float64_floor_1e-3,0.8931627314182209,-11.640767598421686,1.8378770664093453,-8.90972780059412
13,hybrid,native_float32_floor_1e-3,0.9410818219184875,-11.623979568481445,1.8378770351409912,-8.84502124786377
13,arff_original,native_float32_floor_1e-3,0.9682398438453674,-11.623979568481445,1.8378770351409912,-8.817862510681152
13,true_drift_arff_covariance,native_float32_floor_1e-3,0.9406648278236389,-11.623979568481445,1.8378770351409912,-8.845438003540039
13,oracle,float64_unprojected_true_covariance,16034.054810181904,-18.420680769175245,1.8378770664093453,16017.472006479142
13,joint_mlp_drift_true_covariance,float64_unprojected_true_covariance,16083.186930160751,-18.420680769175245,1.8378770664093453,16066.604126457984
13,arff_drift_true_covariance,float64_unprojected_true_covariance,20308.998629230846,-18.420680769175245,1.8378770664093453,20292.415825528078
13,true_drift_arff_covariance,float64_floor_1e-3,0.9406643809221281,-11.623980235929167,1.8378770664093453,-8.845438788597694
13,hybrid,float64_floor_1e-3,0.9410814779741068,-11.623980235929167,1.8378770664093453,-8.845021691545716
13,arff_original,float64_floor_1e-3,0.9682393205648646,-11.623980235929167,1.8378770664093453,-8.817863848954957
14,hybrid,native_float32_floor_1e-3,0.9352225065231323,-11.632746696472168,1.8378770351409912,-8.859646797180176
14,arff_original,native_float32_floor_1e-3,0.9505124688148499,-11.632746696472168,1.8378770351409912,-8.84435749053955
14,true_drift_arff_covariance,native_float32_floor_1e-3,0.9349009394645691,-11.632746696472168,1.8378770351409912,-8.859968185424805
14,oracle,float64_unprojected_true_covariance,16034.054810181904,-18.420680769175245,1.8378770664093453,16017.472006479142
14,joint_mlp_drift_true_covariance,float64_unprojected_true_covariance,16060.325078927588,-18.420680769175245,1.8378770664093453,16043.74227522482
14,arff_drift_true_covariance,float64_unprojected_true_covariance,19505.85638575294,-18.420680769175245,1.8378770664093453,19489.273582050173
14,true_drift_arff_covariance,float64_floor_1e-3,0.9349009920418051,-11.632747037513857,1.8378770664093453,-8.859968979062705
14,hybrid,float64_floor_1e-3,0.9352224711341487,-11.632747037513857,1.8378770664093453,-8.859647499970361
14,arff_original,float64_floor_1e-3,0.9505123768751721,-11.632747037513857,1.8378770664093453,-8.844357594229338
15,hybrid,native_float32_floor_1e-3,0.886003315448761,-11.650639533996582,1.8378770351409912,-8.926758766174316
15,arff_original,native_float32_floor_1e-3,0.8985814452171326,-11.650639533996582,1.8378770351409912,-8.914180755615234
15,true_drift_arff_covariance,native_float32_floor_1e-3,0.8855488300323486,-11.650639533996582,1.8378770351409912,-8.927213668823242
15,oracle,float64_unprojected_true_covariance,16034.054810181904,-18.420680769175245,1.8378770664093453,16017.472006479142
15,joint_mlp_drift_true_covariance,float64_unprojected_true_covariance,16138.29279613787,-18.420680769175245,1.8378770664093453,16121.709992435104
15,arff_drift_true_covariance,float64_unprojected_true_covariance,18691.57118750522,-18.420680769175245,1.8378770664093453,18674.988383802454
15,true_drift_arff_covariance,float64_floor_1e-3,0.8855488302931038,-11.650639785580235,1.8378770664093453,-8.927213888877786
15,hybrid,float64_floor_1e-3,0.8860034243775626,-11.650639785580235,1.8378770664093453,-8.926759294793326
