seed,M_selected_test_drift_mse,M_selected_test_drift_rmse,M_selected_iteration,M_selected_fit_noisy_mse,M_selected_internal_noisy_mse,M_selected_external_noisy_mse,M_selected_external_drift_mse,M_final_test_drift_mse,M_final_test_drift_rmse,M_final_iteration,M_final_fit_noisy_mse,M_final_internal_noisy_mse,M_final_external_noisy_mse,M_final_external_drift_mse,M_selected_minus_final,MR_selected_test_drift_mse,MR_selected_test_drift_rmse,MR_selected_iteration,MR_selected_fit_noisy_mse,MR_selected_internal_noisy_mse,MR_selected_external_noisy_mse,MR_selected_external_drift_mse,MR_final_test_drift_mse,MR_final_test_drift_rmse,MR_final_iteration,MR_final_fit_noisy_mse,MR_final_internal_noisy_mse,MR_final_external_noisy_mse,MR_final_external_drift_mse,MR_selected_minus_final,selected_MR_minus_M,selected_tie_tolerance,selected_classification,final_MR_minus_M,final_tie_tolerance,final_classification
0,23.14765167236328,4.81120064769318,35,4872.0673828125,5077.34619140625,4889.294921875,22.65188980102539,122.55299377441406,11.070365566430679,300,4760.92822265625,5156.71337890625,5001.31884765625,119.18539428710938,-99.40534210205078,11.982319831848145,3.4615487620208594,4,4884.77734375,5079.60546875,4876.93603515625,11.691523551940918,595.2496948242188,24.39773954333103,300,4209.72705078125,5567.7119140625,5485.353515625,589.1637573242188,-583.2673749923706,-11.165331840515137,0.0033147651672363284,help,472.6967010498047,0.06052496948242188,harm
1,2.845270872116089,1.686793073295029,1,4934.86474609375,4732.05419921875,4867.18798828125,2.873891830444336,127.92574310302734,11.310426300676175,300,4793.5302734375,4889.25390625,5014.93212890625,127.21573638916016,-125.08047223091125,3.3221242427825928,1.8226695374594355,1,4934.31298828125,4734.8642578125,4867.4072265625,3.374800682067871,632.6770629882812,25.153072635133093,300,4234.45849609375,5326.26904296875,5518.46484375,644.6356811523438,-629.3549387454987,0.4768533706665039,0.0013322124242782594,harm,504.7513198852539,0.06426770629882812,harm
2,6.748006820678711,2.597692595492914,6,4892.55078125,5023.2109375,4871.9384765625,6.520878314971924,123.30770874023438,11.104400422365648,300,4760.328125,5150.40966796875,5013.69921875,126.0992202758789,-116.55970191955566,5.302835464477539,2.302788627833119,3,4893.9287109375,5030.0703125,4870.841796875,5.162189960479736,621.689697265625,24.933706047549872,300,4199.26708984375,5585.9619140625,5563.61279296875,621.56005859375,-616.3868618011475,-1.4451713562011719,0.001674800682067871,help,498.3819885253906,0.0631689697265625,harm
