K,N,dataset_root,h,method,seed,study,variant,parameters,algorithm_time,best_epoch,train_nll,train_drift_rmse,train_covariance_rmse,train_min_raw_eigenvalue,validation_nll,validation_drift_rmse,validation_covariance_rmse,validation_min_raw_eigenvalue,test_nll,test_drift_rmse,test_covariance_rmse,test_min_raw_eigenvalue,final_drift_best_epoch,covariance_best_epoch,train_min_covariance_eig,validation_min_covariance_eig,test_min_covariance_eig,final_drift_best_iteration,covariance_best_iteration,train_raw_spd_violation_rate,validation_raw_spd_violation_rate,test_raw_spd_violation_rate,train_numerical_nonpositive_eig_rate,validation_numerical_nonpositive_eig_rate,test_numerical_nonpositive_eig_rate
64,640000,dataset_roots/N_640000/h_0.0001,0.0001,split_fourier,4,regime_capacity,h_0.0001,896,4452.387041323003,,-8.796879768371582,0.3132684528827667,0.8253893256187439,,-8.824728012084961,0.3151114284992218,0.8326855301856995,,-8.793007850646973,0.31538960337638855,0.8160498738288879,,131,299,4.134080427320441e-06,4.252823146089213e-06,4.216630713926861e-06,,,,,,,,
64,640000,dataset_roots/N_640000/h_0.0001,0.0001,split_fourier,5,regime_capacity,h_0.0001,896,4479.032635319978,,-8.693413734436035,0.2777041792869568,0.7315459251403809,,-8.729660034179688,0.27810409665107727,0.7309766411781311,,-8.6972017288208,0.28002557158470154,0.7249652743339539,,51,296,1.575509713802603e-06,1.5628132814526907e-06,1.9897447600669693e-06,,,,,,,,
64,640000,dataset_roots/N_640000/h_0.0001,0.0001,split_fourier,6,regime_capacity,h_0.0001,896,4313.06851108605,,-8.657845497131348,0.3041122555732727,0.5421412587165833,,-8.683431625366211,0.30412566661834717,0.5416252017021179,,-8.660890579223633,0.3068807125091553,0.5447385907173157,,122,299,1.887999928840145e-06,1.968071728697396e-06,2.020292640736443e-06,,,,,,,,
64,640000,dataset_roots/N_640000/h_0.0001,0.0001,split_fourier,7,regime_capacity,h_0.0001,896,4622.155148679973,,-8.841093063354492,0.29880470037460327,0.6335165500640869,,-8.887704849243164,0.29997962713241577,0.6388776898384094,,-8.851569175720215,0.3009219169616699,0.6285157799720764,,196,286,3.6593487493519206e-06,3.8332836993504316e-06,3.7468521441041958e-06,,,,,,,,
64,640000,dataset_roots/N_640000/h_0.0001,0.0001,split_fourier,8,regime_capacity,h_0.0001,896,4514.157542710076,,-8.624323844909668,0.26651787757873535,0.6816245913505554,,-8.659529685974121,0.26821646094322205,0.6865049600601196,,-8.626245498657227,0.26867833733558655,0.6885110139846802,,15,292,2.3429688553733286e-06,2.6574393814371433e-06,2.901741027017124e-06,,,,,,,,
64,640000,dataset_roots/N_640000/h_0.0001,0.0001,split_fourier,9,regime_capacity,h_0.0001,896,4420.084429737995,,-8.638777732849121,0.2984544634819031,0.561836838722229,,-8.678924560546875,0.298862099647522,0.5628334879875183,,-8.644492149353027,0.301480233669281,0.554060161113739,,49,297,2.8707258934446145e-06,2.9334737519093323e-06,3.083328238062677e-06,,,,,,,,
64,640000,dataset_roots/N_640000/h_0.0001,0.0001,arff,0,regime_capacity,h_0.0001,896,13.792572712991387,,-8.668938636779785,0.24353474378585815,0.12718023359775543,-0.19151228666305542,-8.705830574035645,0.2438342124223709,0.1256318837404251,-0.18741148710250854,-8.70595932006836,0.24230355024337769,0.12708395719528198,-0.16889287531375885,,,,,,1,300,0.44379687309265137,0.44189998507499695,0.4390999972820282,,,
64,640000,dataset_roots/N_640000/h_0.0001,0.0001,arff,1,regime_capacity,h_0.0001,896,13.64669194095768,,-8.588554382324219,0.727148711681366,0.13634951412677765,-0.15053965151309967,-8.589138984680176,0.7242290377616882,0.13578534126281738,-0.14793236553668976,-8.611841201782227,0.7282088398933411,0.1367555558681488,-0.14941725134849548,,,,,,151,274,0.4518718719482422,0.45389997959136963,0.44519999623298645,,,
64,640000,dataset_roots/N_640000/h_0.0001,0.0001,arff,2,regime_capacity,h_0.0001,896,13.574015285936184,,-8.616888999938965,0.2827968895435333,0.13311795890331268,-0.20699015259742737,-8.64692211151123,0.28443440794944763,0.13251657783985138,-0.18940402567386627,-8.659232139587402,0.28372982144355774,0.13289466500282288,-0.19577382504940033,,,,,,11,300,0.43542030453681946,0.4307999908924103,0.43459999561309814,,,
64,640000,dataset_roots/N_640000/h_0.0001,0.0001,arff,3,regime_capacity,h_0.0001,896,13.660647662938572,,-8.407221794128418,0.19390009343624115,0.13126420974731445,-0.1722365915775299,-8.451094627380371,0.1934671252965927,0.130218967795372,-0.1482182890176773,-8.458911895751953,0.19365230202674866,0.13139708340168,-0.15070196986198425,,,,,,1,296,0.40781718492507935,0.4065999984741211,0.40299999713897705,,,
